beta_0,beta_1,beta_2,beta_3,tau1,tau2
4.164874971421109,0.8850648091884695,1.3878912303936577,3.068625972324332,0.6041236743955456,13.38328086355135
4.2145033407114365,0.8661594650612191,1.430548352618613,2.995814824245577,0.6041236743955456,13.38328086355135
3.4434067979301073,1.723960928307005,1.2505570282660754,5.0970734915546085,1.161740718682527,13.38328086355135
3.302201320253107,1.851257296400416,1.2242441571623224,5.3929688712271275,1.161740718682527,13.38328086355135
4.105120289884105,0.9928184460898575,1.2964380872832932,2.9564321707390127,0.6041236743955456,14.219735693895306
3.9982118944197973,1.0801779503580362,1.50268128518197,3.1979806938638182,0.6041236743955456,14.219735693895306
3.981676090854417,1.1241322089086634,1.4288541908161403,3.220721019040254,0.6041236743955456,14.219735693895306
4.03024526831157,1.087108240644806,1.3388868489329457,3.028514763253667,0.6041236743955456,14.219735693895306
3.142930874558453,2.022426104118295,1.399945022721657,5.70562567869118,1.161740718682527,13.38328086355135
4.075660437644019,1.0300060716199364,1.3091292768639637,2.8420150433747593,0.6041236743955456,14.219735693895306
3.364268544205877,1.8129989307313714,1.1831319383647847,4.964908161172793,1.161740718682527,14.219735693895306
4.04441290023934,1.068385319922817,1.37239706695363,2.919223828056804,0.6041236743955456,14.219735693895306
3.4644670168897793,1.7093660105707777,1.0880830366839336,4.635732188492432,1.161740718682527,14.219735693895306
3.2735115750572867,1.8737325880667335,1.2378288135779436,5.168305256570785,1.161740718682527,14.219735693895306
3.9471062659793987,1.1259678315882873,1.328297567759857,3.05504468327731,0.6041236743955456,14.219735693895306
3.8933584006020476,1.1275181706521857,1.4464155602517572,3.214818751463904,0.6041236743955456,14.219735693895306
3.736488507069965,1.1620050152147383,1.9656365688854285,3.9068913729137185,0.6041236743955456,13.38328086355135
3.7629191148364027,1.0601873888842497,2.0782867990911567,3.868598433557888,0.6041236743955456,13.38328086355135
3.745930915887607,1.075369074899025,2.1217471143405944,3.8931467727245717,0.6041236743955456,13.38328086355135
3.667336730687114,1.0857156887973545,2.282117294448109,4.082315633948018,0.6041236743955456,13.38328086355135
3.7041338001071566,1.0564871657440627,2.3085961092021465,4.048883364525507,0.6041236743955456,13.38328086355135
3.609469877716878,1.048962196354582,2.6182586310766185,4.2348135098327,0.6041236743955456,13.38328086355135
3.6670720509072265,1.0361555137517067,2.347559490861408,4.022837909251133,0.6041236743955456,13.38328086355135
3.7404569862456887,0.9995365730472666,2.3016680884146568,3.8413135902434945,0.6041236743955456,13.38328086355135
3.7805958723809985,0.9214345690920689,2.3705410073314686,3.7215634662538366,0.6041236743955456,13.38328086355135
3.7793006319864646,0.901565550299009,2.435453467609776,3.757263538385526,0.6041236743955456,13.38328086355135
3.4921028918648322,1.1610860806885634,2.703759730987192,4.449277057464438,0.6041236743955456,12.546817714996887
3.6654323376154605,0.9961141264376824,2.511885310864475,3.860960663227956,0.6041236743955456,13.38328086355135
3.3600875865163564,1.30198857870826,2.6683518773943877,4.619229737179398,0.6041236743955456,12.546817714996887
3.4243449139152884,1.264496260792132,2.4889945482114504,4.2852457278735985,0.6041236743955456,13.38328086355135
3.3614953706580866,1.3028490816921932,2.542847043313849,4.340341314455763,0.6041236743955456,13.38328086355135
3.285698694671801,1.2894079963722924,2.8972772291424262,4.616214547343474,0.6041236743955456,12.546817714996887
3.262831412827559,1.2866837237871591,2.919007077979862,4.76354255842819,0.6041236743955456,12.546817714996887
3.1870805306028704,1.2872050408127576,3.193127352459915,5.111736384160021,0.6041236743955456,12.546817714996887
3.3147888846549804,1.2303083296442787,2.9277833102609723,4.710830894866106,0.6041236743955456,12.546817714996887
3.3957659237771147,1.2209189420782267,2.6390202477687823,4.4358728365919005,0.6041236743955456,13.38328086355135
3.429175409379694,1.2308297682381444,2.5198614196401086,4.325340381762236,0.6041236743955456,13.38328086355135
